"date","close","volume","open","high","low"
"2007/02/27","94.8600","81191.0000","97.0700","97.1800","94.3100"
"2007/02/26","98.5100","36864.0000","99.3800","99.3800","98.0940"
"2007/02/23","99.0300","20680.0000","99.0700","99.0700","98.5848"
"2007/02/22","99.1900","168479.0000","99.0600","99.5200","98.7500"
"2007/02/21","99.0300","17063.0000","98.5400","99.0300","98.4100"
"2007/02/20","98.8100","6193.0000","98.0600","98.8100","97.6000"
"2007/02/16","98.2140","6183.0000","97.7400","98.2140","97.7400"
"2007/02/15","98.2400","133917.0000","98.0000","98.2700","97.9100"
"2007/02/14","97.8015","12350.0000","97.2000","98.0340","97.2000"
"2007/02/13","96.7000","61098.0000","96.2900","96.8200","96.2700"
"2007/02/12","96.2100","12119.0000","96.5400","96.7400","96.0800"
"2007/02/09","96.6900","9726.0000","97.8300","98.0600","96.4700"
"2007/02/08","97.8200","2451.0000","97.8200","97.9100","97.3800"
"2007/02/07","97.8300","10796.0000","97.4500","98.1000","97.4500"
"2007/02/06","97.1700","12598.0000","97.2500","97.4000","96.5600"
"2007/02/05","97.1699","7527.0000","97.3900","97.4500","97.1200"
"2007/02/02","97.3600","20863.0000","97.1300","97.4700","96.9400"
"2007/02/01","97.3600","5145.0000","97.3800","97.5000","96.5200"
"2007/01/31","96.7900","7691.0000","95.8700","97.1600","95.8500"
"2007/01/30","96.1500","7968.0000","96.2200","96.2900","95.7800"
"2007/01/29","95.8080","13806.0000","95.7500","96.1460","95.6300"
"2007/01/26","95.8400","11062.0000","96.1200","96.1200","95.1300"
"2007/01/25","95.6300","19885.0000","96.8900","97.0000","95.5400"
"2007/01/24","96.9100","11558.0000","95.8400","96.9100","95.8400"
"2007/01/23","95.6400","100687.0000","95.4900","96.0900","95.4000"
"2007/01/22","95.6100","6772.0000","96.3500","96.5900","95.3000"
"2007/01/19","96.3400","23683.0000","95.7600","96.4300","95.6600"
"2007/01/18","96.1200","38395.0000","97.2500","97.2500","95.8720"
"2007/01/17","97.4900","62278.0000","97.9900","98.2100","97.4200"
"2007/01/16","98.2500","76685.0000","98.6800","98.7100","98.0400"
"2007/01/12","98.3500","56788.0000","97.6400","98.3940","97.6400"
"2007/01/11","97.6500","92487.0000","96.7900","97.9400","96.7900"
"2007/01/10","96.6200","13636.0000","95.6900","96.7920","95.4180"
"2007/01/09","96.2356","30520.0000","95.9300","96.3500","95.2700"
"2007/01/08","95.8470","29038.0000","95.6200","96.1000","95.2700"
"2007/01/05","95.6700","71520.0000","95.9600","96.0680","95.1300"
"2007/01/04","96.4650","30641.0000","95.1700","96.7800","94.9600"
"2007/01/03","95.1800","29557.0000","95.9900","96.5280","94.0700"
